ImportSetNumber	LineNo	ItemID	UnitQuantity	UnitOfMeasure	UnitPrice	ExtendedDescription	SourceLocationID	ShipLocationID	ProductGroupID	SupplierID	SupplierName	RequiredDate	ExpediteDate	WillCall	TaxItem	OKtoInterchange	PricingUnit	CommissionCost	OtherCost	POCost	Disposition	Scheduled	ManualPriceOverride	CommissionCostEdited	OtherCostEdited	CaptureUsage	TagandHoldClassID	ContractBinID	ContractNo	AllocationQty	PromiseDate	RevisionLevel	ResolveItemContract	Sample	QuoteLineNo	QuoteComplete	ItemDescription	InvoiceNo	InvoiceLineNo
10689	0	22052	1		0		0	0		0								0	0	0										0									
10691	0	256	1		0		0	0		0								0	0	0										0									
10691	0	65	1		0		0	0		0								0	0	0										0									
10691	0	13	1		0		0	0		0								0	0	0										0									
10691	0	256	1		0		0	0		0								0	0	0										0									
10691	0	256	1		0		0	0		0								0	0	0										0									
10691	0	56	1		0		0	0		0								0	0	0										0									
10691	0	262	1		0		0	0		0								0	0	0										0									
10691	0	14	1		0		0	0		0								0	0	0										0									
10691	0	13	1		0		0	0		0								0	0	0										0									
10691	0	257	1		0		0	0		0								0	0	0										0									
10695	0	257	1		0		0	0		0								0	0	0										0									
10695	0	57	1		0		0	0		0								0	0	0										0									
10695	0	56	1		0		0	0		0								0	0	0										0									
10695	0	257	1		0		0	0		0								0	0	0										0									
10695	0	52	1		0		0	0		0								0	0	0										0									
10695	0	58	1		0		0	0		0								0	0	0										0									
10923	0	1454	1		0		0	0		0								0	0	0										0									
10923	0	272	1		0		0	0		0								0	0	0										0									
10923	0	13647	1		0		0	0		0								0	0	0										0									
10923	0	252	1		0		0	0		0								0	0	0										0									
10923	0	272	1		0		0	0		0								0	0	0										0									
10923	0	1454	1		0		0	0		0								0	0	0										0									
10923	0	262	1		0		0	0		0								0	0	0										0									
10923	0	13641	1		0		0	0		0								0	0	0										0									
10928	0	61	1		0		0	0		0								0	0	0										0									
10928	0	254	1		0		0	0		0								0	0	0										0									
10928	0	54	1		0		0	0		0								0	0	0										0									
10928	0	254	1		0		0	0		0								0	0	0										0									
10928	0	65	1		0		0	0		0								0	0	0										0									
10956	0	250	1		0		0	0		0								0	0	0										0									
10956	0	272	1		0		0	0		0								0	0	0										0									
10956	0	273	1		0		0	0		0								0	0	0										0									
10956	0	1423	1		0		0	0		0								0	0	0										0									
10957	0	254	1		0		0	0		0								0	0	0										0									
10957	0	107	1		0		0	0		0								0	0	0										0									
10957	0	262	1		0		0	0		0								0	0	0										0									
10957	0	13070	1		0		0	0		0								0	0	0										0									
10957	0	780	1		0		0	0		0								0	0	0										0									
10957	0	254	1		0		0	0		0								0	0	0										0									
10957	0	13549	1		0		0	0		0								0	0	0										0									
10957	0	13559	1		0		0	0		0								0	0	0										0									
10978	0	1502	1		0		0	0		0								0	0	0										0									
10978	0	1503	1		0		0	0		0								0	0	0										0									
10980	0	9	1		0		0	0		0								0	0	0										0									
10980	0	14	1		0		0	0		0								0	0	0										0									
10980	0	254	1		0		0	0		0								0	0	0										0									
10980	0	10	1		0		0	0		0								0	0	0										0									
10980	0	254	1		0		0	0		0								0	0	0										0									
10990	0	1190	1		0		0	0		0								0	0	0										0									
10990	0	1345	1		0		0	0		0								0	0	0										0									
10990	0	2266	1		0		0	0		0								0	0	0										0									
10990	0	13574	1		0		0	0		0								0	0	0										0									
10990	0	7213	2		0		0	0		0								0	0	0										0									
10993	0	8	1		0		0	0		0								0	0	0										0									
10993	0	262	1		0		0	0		0								0	0	0										0									
10993	0	262	1		0		0	0		0								0	0	0										0									
10993	0	14	1		0		0	0		0								0	0	0										0									
10993	0	14	1		0		0	0		0								0	0	0										0									
10993	0	254	1		0		0	0		0								0	0	0										0									
10993	0	75	1		0		0	0		0								0	0	0										0									
10993	0	51	1		0		0	0		0								0	0	0										0									
10993	0	262	1		0		0	0		0								0	0	0										0									
